2647,Environment,2005-03-10,2005-03-10,Miklós Persányi,MEWM,Minister for the Environment and Water Management,bezp.,1,Ferenc Gyurcsány 1
2648,Agriculture and Fisheries,2005-03-14,2005-03-14,Imre Németh,MARD,Minister for Agriculture and Regional Development,bezp.,1,Ferenc Gyurcsány 1
2649,General Affairs,2005-03-16,2005-03-16,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2649,General Affairs,2005-03-16,2005-03-16,Péter Gottfried,MFA,"Head of State Secretariat for Integration and External Economic Relations, Ministry of Foreign Affairs",bezp.,1,Ferenc Gyurcsány 1
2650,External Relations,2005-03-16,2005-03-16,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2650,External Relations,2005-03-16,2005-03-16,Péter Gottfried,MFA,"Head of State Secretariat for Integration and External Economic Relations, Ministry of Foreign Affairs",bezp.,1,Ferenc Gyurcsány 1
2651,Economic and Financial Affairs,2005-04-12,2005-04-12,Tibor Draskovics,MF,Minister for Finance,bezp.,1,Ferenc Gyurcsány 1
2652,Justice and Home Affairs,2005-04-14,2005-04-14,Monika Lamperth,MHA,Minister for Home Affairs,MSZP,1,Ferenc Gyurcsány 1
2652,Justice and Home Affairs,2005-04-14,2005-04-14,József Petrétei,MJLE,Minister of Justice and Law Enforcement,bezp.,1,Ferenc Gyurcsány 1
2653,Competitiveness,2005-04-18,2005-04-18,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2653,Competitiveness,2005-04-18,2005-04-18,Miklós Boda,MRT,"State Secretary, Ministry of Research and Technology",?,1,Ferenc Gyurcsány 1
2654,"Transport, Telecommunications and Energy",2005-04-21,2005-04-21,Zsolt Csaba Horváth,MEAT,"Deputy State Secretary, Ministry of Economic Affairs and Transport",MSZP,0,Ferenc Gyurcsány 1
2655,General Affairs,2005-04-25,2005-04-25,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2655,General Affairs,2005-04-25,2005-04-25,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2656,External Relations,2005-04-25,2005-04-25,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2656,External Relations,2005-04-25,2005-04-25,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2657,Agriculture and Fisheries,2005-04-26,2005-04-26,Imre Németh,MARD,Minister for Agriculture and Regional Development,bezp.,1,Ferenc Gyurcsány 1
2658,Competitiveness,2005-05-10,2005-05-10,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2659,General Affairs,2005-05-23,2005-05-23,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2659,General Affairs,2005-05-23,2005-05-23,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2660,External Relations,2005-05-23,2005-05-24,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2660,External Relations,2005-05-23,2005-05-24,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2660,External Relations,2005-05-23,2005-05-24,László Fapál,MD,"Administrative State Secretary, Ministry of Defence",bezp.,1,Ferenc Gyurcsány 1
2661,"Education, Youth, Culture and Sport",2005-05-23,2005-05-24,András Bozóki,MCH,Minister for Cultural Heritage,bezp.,1,Ferenc Gyurcsány 1
2662,Agriculture and Fisheries,2005-05-30,2005-05-30,Ferenc Nyujtó,MARD,"Deputy State Secretary, Ministry of Agriculture and Rural Development",?,0,Ferenc Gyurcsány 1
2663,"Employment, Social Policy, Health and Consumer Affairs",2005-06-02,2005-06-03,Gábor Csizmár,MLE,"State Secretary, Ministry of Labour and Employment",MSZP,1,Ferenc Gyurcsány 1
2663,"Employment, Social Policy, Health and Consumer Affairs",2005-06-02,2005-06-03,Jenő Rácz,MH,Minister for Health,bezp.,1,Ferenc Gyurcsány 1
2664,Justice and Home Affairs,2005-06-02,2005-06-03,Miklós Faragó,MJ,"Political State Secretary, Ministry of Justice",SZDSZ,0,Ferenc Gyurcsány 1
2665,Competitiveness,2005-06-06,2005-06-07,Péter Gottfried,MFA,"Head of State Secretariat for Integration and External Economic Relations, Ministry of Foreign Affairs",bezp.,0,Ferenc Gyurcsány 1
2665,Competitiveness,2005-06-06,2005-06-07,Miklós Boda,MRT,"State Secretary, Ministry of Research and Technology",?,0,Ferenc Gyurcsány 1
2666,Economic and Financial Affairs,2005-06-07,2005-06-07,Tamás Katona,MF,State secretary,MSZP,0,Ferenc Gyurcsány 1
2667,General Affairs,2005-06-13,2005-06-13,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2667,General Affairs,2005-06-13,2005-06-13,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2668,External Relations,2005-06-13,2005-06-13,Ferenc Somogyi,MFA,Minister for Foreign Affairs,bezp.,1,Ferenc Gyurcsány 1
2668,External Relations,2005-06-13,2005-06-13,Etele Baráth,gov.,Minister without portfolio responsible for European Affairs,MSZP,1,Ferenc Gyurcsány 1
2669,Agriculture and Fisheries,2005-06-20,2005-06-21,József Gráf,MARD,Minister of Agriculture and Rural Development,MSZP,1,Ferenc Gyurcsány 1
2670,Environment,2005-06-24,2005-06-24,Miklós Persányi,MEWM,Minister for the Environment and Water Management,bezp.,1,Ferenc Gyurcsány 1
2671,"Transport, Telecommunications and Energy",2005-06-27,2005-06-28,Mihály Jambrik,MIC,"Administrative State Secretary, Ministry of Informatics and Communications",bezp.,0,Ferenc Gyurcsány 1
2671,"Transport, Telecommunications and Energy",2005-06-27,2005-06-28,György Hatvani,MEAT,"Deputy State Secretary, Ministry of Economic Affairs and Transport",?,0,Ferenc Gyurcsány 1
2671,"Transport, Telecommunications and Energy",2005-06-27,2005-06-28,Egon Dienes-Oehm,PerRep,Deputy permanent representative,KDNP,0,Ferenc Gyurcsány 1
2672,Economic and Financial Affairs,2005-07-12,2005-07-12,János Veres,MF,Minister for Finance,MSZP,1,Ferenc Gyurcsány 1
